Id,SalePrice
1461,72908.29
1462,84670.0
1463,88995.44
1464,90258.65
1465,94371.39
1466,86251.66
1467,84987.69
1468,83303.91
1469,87169.13
1470,76230.586
1471,92437.234
1472,68934.305
1473,68401.9
1474,83570.555
1475,72152.195
1476,136875.64
1477,109267.15
1478,112329.99
1479,119896.89
1480,161531.97
1481,126377.695
1482,100228.92
1483,87113.45
1484,88992.3
1485,94257.43
1486,91297.25
1487,133552.5
1488,101503.27
1489,94140.65
1490,96165.73
1491,90117.336
1492,69354.086
1493,91043.195
1494,122245.56
1495,114530.21
1496,102914.97
1497,92190.99
1498,94643.67
1499,91361.62
1500,86809.01
1501,88797.56
1502,83804.72
1503,113064.805
1504,104450.54
1505,97260.055
1506,86824.33
1507,104152.53
1508,90251.08
1509,83614.32
1510,76318.31
1511,78920.37
1512,84568.805
1513,78585.55
1514,85267.77
1515,86594.03
1516,82798.91
1517,81936.805
1518,77480.98
1519,96424.98
1520,76307.25
1521,77270.16
1522,79820.05
1523,71210.61
1524,73104.14
1525,73533.53
1526,71522.53
1527,71427.1
1528,74364.57
1529,81452.125
1530,82586.375
1531,70686.3
1532,67448.44
1533,81070.23
1534,72952.24
1535,80856.12
1536,67980.555
1537,57556.188
1538,82978.9
1539,91590.445
1540,64883.46
1541,79716.51
1542,77375.305
1543,96417.34
1544,66313.9
1545,72295.25
1546,77445.37
1547,78763.89
1548,76351.29
1549,76536.9
1550,75485.734
1551,70687.24
1552,79236.2
1553,83472.266
1554,72231.44
1555,87027.09
1556,66349.195
1557,70362.32
1558,71555.69
1559,58791.32
1560,79822.79
1561,76304.12
1562,74176.375
1563,74291.914
1564,84122.85
1565,79515.375
1566,105027.69
1567,62862.082
1568,105563.21
1569,86741.15
1570,76016.64
1571,72512.625
1572,76203.98
1573,105904.04
1574,72826.7
1575,103878.65
1576,103416.55
1577,91319.63
1578,80803.39
1579,79541.695
1580,89910.88
1581,84448.72
1582,74717.445
1583,122049.86
1584,97281.58
1585,82494.91
1586,56975.113
1587,71473.5
1588,82094.09
1589,66699.84
1590,76700.72
1591,67958.64
1592,75905.44
1593,74677.2
1594,83130.82
1595,70588.95
1596,98982.18
1597,92717.82
1598,104170.71
1599,92403.21
1600,90929.086
1601,51904.836
1602,73475.836
1603,60813.137
1604,114136.15
1605,101992.03
1606,83257.92
1607,84078.66
1608,96352.266
1609,87627.98
1610,82788.72
1611,75069.28
1612,82398.664
1613,79988.68
1614,77071.88
1615,69626.72
1616,65920.94
1617,67887.586
1618,72558.28
1619,79165.35
1620,83598.21
1621,76699.4
1622,79125.5
1623,108651.055
1624,94389.39
1625,72007.836
1626,79611.516
1627,88967.35
1628,110285.05
1629,90491.1
1630,134974.02
1631,104501.95
1632,107229.89
1633,88085.11
1634,87243.9
1635,87319.4
1636,78424.28
1637,90274.234
1638,93866.5
1639,81451.35
1640,111397.6
1641,82315.484
1642,103483.63
1643,98935.086
1644,103826.85
1645,93029.945
1646,80174.8
1647,81420.67
1648,74792.945
1649,76932.73
1650,70359.7
1651,73231.98
1652,68872.01
1653,68761.42
1654,81804.46
1655,80600.98
1656,78502.77
1657,80436.95
1658,78762.164
1659,72061.56
1660,78653.41
1661,160119.23
1662,145463.3
1663,137932.45
1664,163774.31
1665,115133.07
1666,131123.83
1667,144197.7
1668,126685.16
1669,110831.945
1670,128454.43
1671,105964.66
1672,142351.48
1673,118092.445
1674,100388.3
1675,90053.33
1676,91857.16
1677,95370.234
1678,152486.55
1679,140927.5
1680,123051.336
1681,99899.02
1682,119355.45
1683,87733.5
1684,86517.59
1685,85089.875
1686,88523.02
1687,85669.45
1688,90293.6
1689,91434.836
1690,92184.58
1691,89459.88
1692,109541.87
1693,89992.89
1694,88115.11
1695,83443.53
1696,112094.24
1697,85957.03
1698,135859.69
1699,127335.484
1700,102272.65
1701,108985.84
1702,105666.35
1703,102001.86
1704,110667.39
1705,99359.445
1706,146405.78
1707,95467.516
1708,91961.46
1709,108130.08
1710,99520.28
